mvid,llid,dt,warning,lat,lng,spd_knots,spd_ms,bearing,mag_var
760,153,2022-08-30 13:42:25 Z,A,52.478437,13.419622,0.456,0.23458646400000002,,
761,153,2022-08-30 13:42:26 Z,A,52.478441,13.419626166666667,0.165,0.08488326,,
762,153,2022-08-30 13:42:27 Z,A,52.478443,13.419624333333333,0.748,0.38480411200000003,,
763,153,2022-08-30 13:42:28 Z,A,52.478441333333336,13.419622,0.605,0.31123862,,
764,153,2022-08-30 13:42:29 Z,A,52.47844666666667,13.4196165,0.157,0.08076770800000001,,
765,154,2022-08-30 13:42:30 Z,A,52.47844383333333,13.419616,0.222,0.11420656800000001,,
766,154,2022-08-30 13:42:31 Z,A,52.47844083333333,13.419615833333333,0.252,0.129639888,,
767,154,2022-08-30 13:42:32 Z,A,52.478442333333334,13.419616333333334,0.639,0.328729716,,
768,154,2022-08-30 13:42:33 Z,A,52.4784415,13.419618,0.726,0.373486344,,
769,154,2022-08-30 13:42:34 Z,A,52.4784415,13.419621333333334,0.693,0.356509692,,
770,155,2022-08-30 13:42:35 Z,A,52.4784525,13.419628,0.147,0.075623268,,
771,155,2022-08-30 13:42:36 Z,A,52.47845433333333,13.419627,0.129,0.066363276,,
772,155,2022-08-30 13:42:37 Z,A,52.478455,13.419628,0.186,0.095686584,,
773,155,2022-08-30 13:42:38 Z,A,52.478452,13.4196275,0.300,0.1543332,,
774,155,2022-08-30 13:42:39 Z,A,52.478454,13.419632166666666,0.185,0.09517214,,
775,156,2022-08-30 13:42:40 Z,A,52.478454666666664,13.419638,0.392,0.201662048,,
776,156,2022-08-30 13:42:41 Z,A,52.4784555,13.419643666666667,0.755,0.38840522,,
777,156,2022-08-30 13:42:42 Z,A,52.47845266666667,13.419643833333334,0.423,0.21760981199999999,,
778,156,2022-08-30 13:42:43 Z,A,52.47845433333333,13.419647333333334,0.532,0.27368420800000004,,
779,156,2022-08-30 13:42:42 Z,A,52.47845266666667,13.419643833333334,0.423,0.21760981199999999,,
780,156,2022-08-30 13:42:43 Z,A,52.47845433333333,13.419647333333334,0.532,0.27368420800000004,,
781,156,2022-08-30 13:42:44 Z,A,52.478458833333335,13.419657,0.904,0.465057376,,
782,157,2022-08-30 13:42:45 Z,A,52.47845316666667,13.419658333333333,0.944,0.48563513599999997,,
783,157,2022-08-30 13:42:46 Z,A,52.478451666666665,13.419661666666666,0.863,0.443965172,,
784,157,2022-08-30 13:42:47 Z,A,52.478457666666664,13.419661166666666,0.530,0.27265532000000003,,
785,157,2022-08-30 13:42:48 Z,A,52.4784605,13.4196625,0.831,0.427502964,,
786,157,2022-08-30 13:42:49 Z,A,52.478464833333334,13.419651833333333,0.984,0.506212896,,
787,158,2022-08-30 13:42:50 Z,A,52.47846066666666,13.419639666666667,0.859,0.441907396,,
788,158,2022-08-30 13:42:51 Z,A,52.478469833333335,13.4196325,1.062,0.5463395280000001,,
789,158,2022-08-30 13:42:52 Z,A,52.47846783333333,13.419639,0.372,0.191373168,,
790,158,2022-08-30 13:42:53 Z,A,52.47845383333333,13.419633,1.060,0.5453106400000001,,
791,158,2022-08-30 13:42:54 Z,A,52.478453333333334,13.4196325,0.343,0.176454292,,
792,159,2022-08-30 13:42:55 Z,A,52.47845,13.419632166666666,0.879,0.452196276,,
793,159,2022-08-30 13:42:56 Z,A,52.478431,13.419625333333334,2.889,1.4862287159999998,243.88,
794,159,2022-08-30 13:42:57 Z,A,52.4784255,13.419624,1.131,0.581836164,,
795,159,2022-08-30 13:42:58 Z,A,52.478421,13.419614,1.311,0.674436084,,
796,159,2022-08-30 13:42:59 Z,A,52.47842266666667,13.419605666666667,0.256,0.131697664,,
797,160,2022-08-30 13:43:00 Z,A,52.478423166666666,13.419621,0.683,0.351365252,,
798,160,2022-08-30 13:43:01 Z,A,52.4784265,13.419631833333334,1.066,0.5483973040000001,,
799,160,2022-08-30 13:43:00 Z,A,52.478423166666666,13.419621,0.683,0.351365252,,
800,160,2022-08-30 13:43:01 Z,A,52.4784265,13.419631833333334,1.066,0.5483973040000001,,
801,160,2022-08-30 13:43:02 Z,A,52.47841483333333,13.419618833333333,0.679,0.349307476,,
802,160,2022-08-30 13:43:03 Z,A,52.478411666666666,13.4196165,0.178,0.091571032,,
803,160,2022-08-30 13:43:04 Z,A,52.47841183333333,13.4196095,0.350,0.1800554,,
804,161,2022-08-30 13:43:05 Z,A,52.4784145,13.419607666666666,1.106,0.5689750640000001,,
805,161,2022-08-30 13:43:06 Z,A,52.47840866666667,13.4195985,0.558,0.28705975200000006,,
806,161,2022-08-30 13:43:07 Z,A,52.478395666666664,13.419591666666667,0.308,0.158448752,,
807,161,2022-08-30 13:43:08 Z,A,52.478383,13.419584833333333,0.588,0.302493072,,
808,161,2022-08-30 13:43:09 Z,A,52.47838,13.419583,0.770,0.39612188000000004,,
809,162,2022-08-30 13:43:10 Z,A,52.47837633333334,13.4195855,0.514,0.264424216,,
810,162,2022-08-30 13:43:11 Z,A,52.47836866666667,13.419582833333333,0.768,0.39509299200000003,,
811,162,2022-08-30 13:43:12 Z,A,52.478368,13.419585,0.695,0.35753858,,
812,162,2022-08-30 13:43:13 Z,A,52.478373,13.41959,0.788,0.40538187200000003,,
813,162,2022-08-30 13:43:14 Z,A,52.47836366666667,13.419594333333333,0.759,0.390462996,,
814,163,2022-08-30 13:43:15 Z,A,52.478358,13.419598333333333,0.836,0.430075184,,
815,163,2022-08-30 13:43:16 Z,A,52.478358666666665,13.419596,0.507,0.260823108,,
816,163,2022-08-30 13:43:17 Z,A,52.47835333333333,13.419598833333334,0.734,0.377601896,,
817,163,2022-08-30 13:43:18 Z,A,52.47835116666667,13.4195965,0.548,0.28191531200000003,,
818,163,2022-08-30 13:43:19 Z,A,52.47836566666667,13.419604833333333,0.450,0.2314998,,
819,164,2022-08-30 13:43:20 Z,A,52.478364666666664,13.419603500000001,0.208,0.107004352,,
820,164,2022-08-30 13:43:21 Z,A,52.47836783333333,13.4196095,0.512,0.263395328,,
821,164,2022-08-30 13:43:22 Z,A,52.478369,13.4196125,0.527,0.271111988,,
822,164,2022-08-30 13:43:23 Z,A,52.4783685,13.4196075,0.490,0.25207756,,
823,164,2022-08-30 13:43:24 Z,A,52.4783705,13.419611333333334,0.287,0.147645428,,
824,165,2022-08-30 13:43:25 Z,A,52.478373833333336,13.419616833333333,0.328,0.168737632,,
825,165,2022-08-30 13:43:26 Z,A,52.4783765,13.419619333333333,0.245,0.12603878,,
826,165,2022-08-30 13:43:27 Z,A,52.478376,13.419620166666666,0.311,0.159992084,,
827,165,2022-08-30 13:43:28 Z,A,52.478375666666665,13.419618666666667,0.275,0.14147210000000002,,
828,165,2022-08-30 13:43:29 Z,A,52.478375166666666,13.419612333333333,0.117,0.06018994800000001,,
829,166,2022-08-30 13:43:30 Z,A,52.47837533333333,13.4196115,0.148,0.076137712,,
830,166,2022-08-30 13:43:31 Z,A,52.4783755,13.419603,0.277,0.14250098800000002,,
831,166,2022-08-30 13:43:32 Z,A,52.47837616666666,13.419594833333333,0.235,0.12089434,,
832,166,2022-08-30 13:43:33 Z,A,52.47837666666667,13.419597666666666,0.112,0.057617728,,
833,166,2022-08-30 13:43:34 Z,A,52.4783775,13.419600166666667,0.069,0.035496636000000005,,
834,167,2022-08-30 13:43:35 Z,A,52.4783805,13.419632333333332,0.308,0.158448752,,
835,167,2022-08-30 13:43:36 Z,A,52.4783835,13.419632166666666,0.214,0.110091016,,
836,167,2022-08-30 13:43:37 Z,A,52.478385333333335,13.4196325,0.148,0.076137712,,
837,167,2022-08-30 13:43:38 Z,A,52.47839,13.419639166666666,0.274,0.14095765600000001,,
838,167,2022-08-30 13:43:39 Z,A,52.478392166666666,13.419639,0.243,0.125009892,,
839,168,2022-08-30 13:43:40 Z,A,52.4783925,13.4196485,0.449,0.230985356,,
840,168,2022-08-30 13:43:41 Z,A,52.478392666666664,13.419662166666667,0.847,0.435734068,,
841,168,2022-08-30 13:43:42 Z,A,52.47839316666666,13.419664666666666,0.612,0.314839728,,
842,168,2022-08-30 13:43:43 Z,A,52.47839416666667,13.419665166666666,0.544,0.279857536,,
843,168,2022-08-30 13:43:44 Z,A,52.4783975,13.4196795,0.813,0.418242972,,
844,169,2022-08-30 13:43:45 Z,A,52.4784,13.4196855,0.703,0.36165413199999996,,
845,169,2022-08-30 13:43:46 Z,A,52.478406666666665,13.419692166666668,0.994,0.511357336,,
846,169,2022-08-30 13:43:47 Z,A,52.478409,13.419683,0.619,0.318440836,,
847,169,2022-08-30 13:43:48 Z,A,52.4784095,13.419685166666667,0.418,0.215037592,,
848,169,2022-08-30 13:43:49 Z,A,52.47841016666667,13.4196935,0.323,0.166165412,,
849,170,2022-08-30 13:43:50 Z,A,52.478409666666664,13.419696666666667,0.121,0.062247724,,
850,170,2022-08-30 13:43:51 Z,A,52.4784065,13.419701833333333,0.248,0.127582112,,
851,170,2022-08-30 13:43:52 Z,A,52.4784055,13.419699833333333,0.277,0.14250098800000002,,
852,170,2022-08-30 13:43:53 Z,A,52.478409,13.419705333333333,0.201,0.103403244,,
853,170,2022-08-30 13:43:54 Z,A,52.478411,13.4197105,0.175,0.0900277,,
854,171,2022-08-30 13:43:55 Z,A,52.47841,13.419703666666667,0.102,0.052473288,,
855,171,2022-08-30 13:43:56 Z,A,52.47841116666667,13.419748333333333,0.228,0.11729323200000001,,
856,171,2022-08-30 13:43:57 Z,A,52.47841066666667,13.419748333333333,0.090,0.04629996,,
857,171,2022-08-30 13:43:58 Z,A,52.47841016666667,13.419746833333333,0.163,0.08385437200000001,,
858,171,2022-08-30 13:43:59 Z,A,52.478407833333335,13.419703666666667,0.508,0.26133755200000003,,
859,172,2022-08-30 13:44:00 Z,A,52.47840683333333,13.419705333333333,0.474,0.243846456,,
860,172,2022-08-30 13:44:01 Z,A,52.47840583333333,13.419711,0.585,0.30094973999999997,,
861,172,2022-08-30 13:44:02 Z,A,52.478411666666666,13.419701666666667,0.119,0.061218836,,
862,172,2022-08-30 13:44:03 Z,A,52.47841366666667,13.419695833333334,0.066,0.033953304000000004,,
