rid,date,time,lat,lng
1341,2022-08-30,15:20:39 Z,52.46748483333333,13.410968833333333
1342,2022-08-30,15:20:44 Z,52.46748433333333,13.4109665
1343,2022-08-30,15:20:49 Z,52.467484166666665,13.410964666666667
1344,2022-08-30,15:20:54 Z,52.4674845,13.410962166666666
1345,2022-08-30,15:20:59 Z,52.467485,13.410960166666667
1346,2022-08-30,15:21:04 Z,52.4674845,13.4109585
1347,2022-08-30,15:21:09 Z,52.46748433333333,13.410958333333333
1348,2022-08-30,15:21:14 Z,52.46748433333333,13.4109575
1349,2022-08-30,15:21:19 Z,52.4674845,13.410956333333333
1350,2022-08-30,15:21:24 Z,52.4674845,13.410954666666667
1351,2022-08-30,15:21:29 Z,52.467484166666665,13.410955333333334
1352,2022-08-30,15:21:34 Z,52.467484166666665,13.410957833333333
1353,2022-08-30,15:21:39 Z,52.46748483333333,13.410956666666667
1354,2022-08-30,15:21:44 Z,52.46748566666667,13.410956166666667
1355,2022-08-30,15:21:49 Z,52.46748616666667,13.410956333333333
1356,2022-08-30,15:21:54 Z,52.46748683333333,13.410954833333333
1357,2022-08-30,15:21:59 Z,52.46748683333333,13.4109555
1358,2022-08-30,15:22:04 Z,52.467487,13.410958166666667
1359,2022-08-30,15:22:09 Z,52.46748616666667,13.410959833333333
1360,2022-08-30,15:22:14 Z,52.467486666666666,13.410962333333334
1361,2022-08-30,15:22:19 Z,52.4674875,13.410964333333334
1362,2022-08-30,15:22:24 Z,52.467488,13.410965333333333
1363,2022-08-30,15:22:29 Z,52.46748783333334,13.410966833333333
1364,2022-08-30,15:22:34 Z,52.46748783333334,13.4109685
1365,2022-08-30,15:22:39 Z,52.467488333333336,13.4109685
1366,2022-08-30,15:22:44 Z,52.467489666666665,13.410969
1367,2022-08-30,15:22:49 Z,52.46749116666667,13.410968166666667
1368,2022-08-30,15:22:54 Z,52.467491333333335,13.410967
1369,2022-08-30,15:22:59 Z,52.46749166666667,13.410968333333333
1370,2022-08-30,15:23:04 Z,52.46749066666667,13.410969833333333
1371,2022-08-30,15:23:09 Z,52.467490166666664,13.410973166666667
1372,2022-08-30,15:23:14 Z,52.467491333333335,13.410980833333333
1373,2022-08-30,15:23:19 Z,52.467491333333335,13.410983
1374,2022-08-30,15:23:24 Z,52.4674925,13.4109875
1375,2022-08-30,15:23:29 Z,52.467492,13.4109905
1376,2022-08-30,15:23:34 Z,52.46749066666667,13.410990333333334
1377,2022-08-30,15:23:39 Z,52.46749,13.410991166666667
1378,2022-08-30,15:23:44 Z,52.4674895,13.4109895
1379,2022-08-30,15:23:49 Z,52.467488833333334,13.410987333333333
1380,2022-08-30,15:23:54 Z,52.46748866666667,13.4109855
1381,2022-08-30,15:23:59 Z,52.467488,13.410984333333333
1382,2022-08-30,15:24:04 Z,52.467486666666666,13.410982833333334
1383,2022-08-30,15:24:09 Z,52.4674855,13.410983666666667
1384,2022-08-30,15:24:14 Z,52.46748483333333,13.410984333333333
1385,2022-08-30,15:24:19 Z,52.467485,13.410984
1386,2022-08-30,15:24:24 Z,52.46748566666667,13.410983333333334
1387,2022-08-30,15:24:29 Z,52.467486,13.410983333333334
1388,2022-08-30,15:24:34 Z,52.4674865,13.4109835
1389,2022-08-30,15:24:39 Z,52.46748783333334,13.410983333333334
1390,2022-08-30,15:24:44 Z,52.4674895,13.4109855
1391,2022-08-30,15:24:49 Z,52.46748816666667,13.4109875
1392,2022-08-30,15:24:54 Z,52.467488833333334,13.410987
1393,2022-08-30,15:24:59 Z,52.46748983333333,13.410987833333333
1394,2022-08-30,15:25:04 Z,52.4674895,13.410987833333333
1395,2022-08-30,15:25:09 Z,52.467490166666664,13.410987
1396,2022-08-30,15:25:14 Z,52.467490833333336,13.410986833333334
1397,2022-08-30,15:25:19 Z,52.46749066666667,13.410989
1398,2022-08-30,15:25:24 Z,52.46749066666667,13.410991833333334
1399,2022-08-30,15:25:29 Z,52.467491,13.410992666666667
1400,2022-08-30,15:25:34 Z,52.467491,13.410993166666668
1401,2022-08-30,15:25:39 Z,52.4674925,13.410994833333334
1402,2022-08-30,15:25:44 Z,52.467492166666666,13.410993833333333
1403,2022-08-30,15:25:49 Z,52.4674895,13.410993333333334
1404,2022-08-30,15:25:54 Z,52.467488333333336,13.410994166666667
1405,2022-08-30,15:25:59 Z,52.46748866666667,13.410994833333334
1406,2022-08-30,15:26:04 Z,52.467489,13.410996
1407,2022-08-30,15:26:09 Z,52.4674895,13.410996333333333
1408,2022-08-30,15:26:14 Z,52.46748933333333,13.410996333333333
1409,2022-08-30,15:26:19 Z,52.46749,13.410994666666667
1410,2022-08-30,15:26:24 Z,52.46748983333333,13.410994166666667
1411,2022-08-30,15:26:29 Z,52.467491,13.4109945
1412,2022-08-30,15:26:34 Z,52.467492,13.410996333333333
1413,2022-08-30,15:26:39 Z,52.467491833333334,13.410996166666667
1414,2022-08-30,15:26:44 Z,52.46749366666667,13.4109975
1415,2022-08-30,15:26:49 Z,52.467493833333336,13.410996333333333
1416,2022-08-30,15:26:54 Z,52.467493,13.410994666666667
1417,2022-08-30,15:26:59 Z,52.467494,13.410996
1418,2022-08-30,15:27:04 Z,52.46749583333333,13.410995333333334
1419,2022-08-30,15:27:09 Z,52.467497333333334,13.410994666666667
1420,2022-08-30,15:27:14 Z,52.46749633333334,13.410995166666666
1421,2022-08-30,15:27:19 Z,52.46749633333334,13.410994333333333
1422,2022-08-30,15:27:24 Z,52.46749716666667,13.410993333333334
1423,2022-08-30,15:27:29 Z,52.4674955,13.410995166666666
1424,2022-08-30,15:27:34 Z,52.467495166666666,13.410998333333334
1425,2022-08-30,15:27:39 Z,52.4674925,13.411002833333333
1426,2022-08-30,15:27:44 Z,52.46749166666667,13.411001666666667
